iter	PairLogit
0	0.6865829386
1	0.6802217187
2	0.6740715015
3	0.6681782801
4	0.6625809127
5	0.6573726886
6	0.6523132145
7	0.6474068966
8	0.642811126
9	0.6382954174
10	0.6341278683
11	0.6301490047
12	0.6263646569
13	0.6226503013
14	0.6191265453
15	0.6156746259
16	0.6123860716
17	0.6093280901
18	0.6063779706
19	0.6034817679
20	0.600833289
21	0.5982396313
22	0.5957828703
23	0.5934275932
24	0.5910920941
25	0.5889653311
26	0.586874242
27	0.5848131189
28	0.5828880132
29	0.5810862306
30	0.5792649695
31	0.5776162533
32	0.5759706568
33	0.5743561448
34	0.5728395976
35	0.5714149126
36	0.5700539152
37	0.5687330506
38	0.5674829668
39	0.5662864381
40	0.5650400886
41	0.5639072535
42	0.5628181948
43	0.561723439
44	0.5606444727
45	0.5596448285
46	0.5587305251
47	0.557826712
48	0.5569206245
49	0.5560274767
50	0.5552101732
51	0.5544438322
52	0.5536789681
53	0.5529336466
54	0.5522399089
55	0.5514829799
56	0.5507755639
57	0.5500915442
58	0.5494236309
59	0.5488233981
60	0.5481700058
61	0.5475809134
62	0.5470427532
63	0.5464267522
64	0.5458616392
65	0.5452709267
66	0.5447151682
67	0.5442150274
68	0.5436902835
69	0.5432196154
70	0.5427833113
71	0.5423154832
72	0.5418294305
73	0.5413763831
74	0.5409330883
75	0.5404688549
76	0.5400991559
77	0.5397020699
78	0.5392985179
79	0.5388737602
80	0.5384928834
81	0.538130705
82	0.5377519223
83	0.5373984668
84	0.5370508177
85	0.5367170192
86	0.536382527
87	0.536038694
88	0.5357156182
89	0.5354041839
90	0.5351079156
91	0.5348162908
92	0.5344930333
93	0.5342415919
94	0.533961865
95	0.5336721098
96	0.5334097994
97	0.5331148917
98	0.5328573112
99	0.5325839347
100	0.5322829543
101	0.5319908333
102	0.5317630298
103	0.5315073842
104	0.5312805417
105	0.5310116687
106	0.530774521
107	0.5305107755
108	0.5302676127
109	0.53000498
110	0.5297872111
111	0.5295829837
112	0.5293305347
113	0.5291419205
114	0.5289257039
115	0.5286862238
116	0.5284586446
117	0.5282092774
118	0.5280068833
119	0.5278161417
120	0.527607554
121	0.5274233819
122	0.5272144851
123	0.5270347082
124	0.5267942008
125	0.5266252701
126	0.5264052569
127	0.5262145132
128	0.5260232328
129	0.5258543983
130	0.5256919634
131	0.5255342277
132	0.5253338322
133	0.5251712003
134	0.5249879381
135	0.5248276961
136	0.5246828753
137	0.5245181666
138	0.5243611783
139	0.5241681391
140	0.5239839228
141	0.5238017621
142	0.5236305788
143	0.523470565
144	0.523317821
145	0.5231711218
146	0.5230078971
147	0.5228464232
148	0.5226942876
149	0.5225547434
150	0.5224167208
151	0.5222810217
152	0.5221247719
153	0.5219758286
154	0.5218248373
155	0.5216840705
156	0.521551391
157	0.5213904535
158	0.521251651
159	0.5211069344
160	0.5209795363
161	0.5208235167
162	0.5206585747
163	0.5205170764
164	0.520365173
165	0.5202460398
166	0.5201191897
167	0.5199913118
168	0.5198666786
169	0.5197524951
170	0.5196231484
171	0.5194506185
172	0.5193215299
173	0.5191915487
174	0.5190613877
175	0.5189432136
176	0.518820386
177	0.5186919414
178	0.5185440361
179	0.5184192263
180	0.5182848656
181	0.5181464392
182	0.5180255222
183	0.5179009561
184	0.5177917799
185	0.5176459178
186	0.5175365619
187	0.5174249386
188	0.5173019273
189	0.5171554246
190	0.5170216236
191	0.5169027793
192	0.5167930265
193	0.5166792395
194	0.5165547292
195	0.5164044985
196	0.5162791249
197	0.5161833778
198	0.5160847354
199	0.5159772907
200	0.5158381581
201	0.5157256236
202	0.5156157348
203	0.5155098094
204	0.5154039974
205	0.5152853539
206	0.5151474594
207	0.5150496366
208	0.5149284458
209	0.5148040382
210	0.5147079597
211	0.5146089439
212	0.5144826281
213	0.5143787047
214	0.5142405091
215	0.5141420597
216	0.5140378387
217	0.5139241167
218	0.5138029507
219	0.5137022429
220	0.5135864807
221	0.5134766526
222	0.5133711974
